photo_id,filename,sha256,bytes,family,duplicate_group,historical_role,visible_page_label,classification_status,promotion_authorized,document_group_v2,document_identity_v2,document_title_v2,group_confidence_v2,technical_topics_v2,page_identity_state_v2,independent_evidence_unit,promotion_authorized_v2
N12-PHOTO-011,1788939776477.jpg,0f7bff563adb61052a95ca55c0b4fa82ba2122e5b52b3d631c78fbc93f954365,141696,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-012,1788939776496.jpg,c6a30d7e7e7e476b010eceeb5725e13a6ca257aa3f2d681563b0d9551948467c,170889,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-013,1788939776512.jpg,0179add20825c9c95837f60c8c0b0863ff491a102c240283e9bd9f6377f2c280,154102,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-014,1788939776529.jpg,9deece66cfbd6ac1f650db44a94e8098790b85aa9a000d4f67469af0b1cf3312,143441,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-015,1788939776548.jpg,76b81f4dae613739d48b2273f667208883553223baaea6dd1bccd4d57a8844fe,181039,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-016,1788939776564.jpg,f8b7366e70035b86fd402f7978020d80053b200b823b2f147432316327ce4d13,153179,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP15,RC-P15,Peso solaio/tetto e considerazioni di calcolo,HIGH,solaio tetto; copertura; pesi; coefficiente Kani,VERIFIED,DG-RCP15,NO
N12-PHOTO-017,1788939776582.jpg,7e2560fea42bbd05a8d633576af2352ea079b2565362b876fbc35bd793ede911,159716,CALCULATION_SHEET,,RC-P13,13.0,PRIMARY_ROLE_VERIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-018,1788939776599.jpg,e9a9e6bd0ffead15283562bbdd9cde968f158543e070d80dd6cb2239332399a0,181342,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP14,RC-P14,Calcolo carichi telai H-R-C e altri,HIGH,traversi; carichi lineari; telai multipli,VERIFIED,DG-RCP14,NO
N12-PHOTO-019,1788939776617.jpg,5c4634df4f570ae99f85b5c0ad7008baacffdbc19362916525fe47e700593b4c,184367,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP13,RC-P13,Telaio 5 — calcolo carichi/sezioni,HIGH,Telaio 5; sezioni 25x70 e 140x20; carichi lineari; tratti numerati,VERIFIED,DG-RCP13,NO
N12-PHOTO-020,1788939776639.jpg,3f89f102824814023c559355f49412da096d5323e1fcfc8ab5b99cdada29968d,180117,CALCULATION_SHEET,,,,FAMILY_CLASSIFIED,NO,DG-RCP12,RC-P12,Calcolo carichi telai,HIGH,traversi; balconi; tamponatura; carichi lineari,VERIFIED,DG-RCP12,NO
N12-PHOTO-021,1788939776658.jpg,36a7050d8b354d09e80934779694a64c858c85fdd513e1f10d60348036c9c65f,163492,TO_REVIEW,,,,FAMILY_CLASSIFIED,NO,DG-RCP11,RC-P11,Analisi dei carichi — Telaio I-L-M-N-P-Q-R e Telaio A-B-C-D,HIGH,carichi telai; traversi; sezioni; tamponature; solai,VERIFIED,DG-RCP11,NO
N12-PHOTO-022,1788939776676.jpg,c9c4bf04f6142b5abd50b3ad62fcc7b68e1a7125d866988d4eb9b77a7a85da79,151842,FRAME_DIAGRAM,DG-01,,,FAMILY_CLASSIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-023,1788939776690.jpg,0d14bec38a298353e1f21d0c6374e1852506ef5b2c4e47c6edbfa4d13441726d,131427,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-024,1788939776705.jpg,98cf84d9529e94206a790dc77e5446cb59b9ad8fde0c3ce30b4649e5dafcb5ad,127632,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-025,1788939776721.jpg,b437bd63d08bd312313ef5bf225c82e09eb6ef534accc9df4fdc3c505e2b65a8,161299,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-026,1788939776737.jpg,cc162d7975a942edb9ded700171369b7aff118b05c8b79d1d1575b996b63c2eb,135883,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-027,1788939776754.jpg,1770dedb8e835946606ccb4711edcbc4608e48a5440c0a103bc82a1e6de74800,185970,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-028,1788939776774.jpg,74334c8b52b56b05332565242e247096614d1f5a00afd02af16889c12f822321,186823,CALCULATION_SHEET,DG-07,,,FAMILY_CLASSIFIED,NO,DG-RCP04,RC-P04,"Analisi carichi — sottotetto, tamponatura, scale, travi",HIGH,solaio sottotetto; tamponatura; scale; balconi; pesi propri travi,VERIFIED,DG-RCP04,NO
N12-PHOTO-029,1788939776798.jpg,209dab0471a6b16fe473069b27b27284f2b68c5eeba77053c7067c9868321552,175893,TEXTUAL_REPORT_PAGE,DG-08,,,FAMILY_CLASSIFIED,NO,DG-NOTES,PAGE_TO_VERIFY,Annotazioni costruttive,HIGH,tamponatura; travi portanti 25x70; camera d'aria; pilastri,TO_VERIFY,DG-NOTES,NO
N12-PHOTO-030,1788939776823.jpg,dd7e56b0082925dd9dccb5a55598d782c1a4dfa32a7c2445e5d2c937d072a323,217824,CALCULATION_SHEET,DG-09,,,FAMILY_CLASSIFIED,NO,DG-CALCLOAD,RC-P03_CANDIDATE,Analisi dei carichi,MEDIUM,solaio copertura; solaio sottotetto; sovraccarichi; carichi permanenti,CANDIDATE,DG-CALCLOAD,NO
N12-PHOTO-031,1788939776853.jpg,37b999696933041cd1db6ea72bd5685d7321a93a8d65318604918d376a68f484,275153,TEXTUAL_REPORT_PAGE,DG-10,,,FAMILY_CLASSIFIED,NO,DG-RCP02,RC-P02,Calcoli di stabilità delle strutture,HIGH,sistema strutturale; telai; Kani; fondazioni; terreno; materiali,VERIFIED,DG-RCP02,NO
N12-PHOTO-032,1788939776879.jpg,fbfd1b89241ed0ff66ab644b9cedcd1b873d07bcecb762cfa0ba58c4b3c81ff2,218491,TEXTUAL_REPORT_PAGE,,,,FAMILY_CLASSIFIED,NO,DG-COVER,FRONTESPIZIO,Progetto civile abitazione,HIGH,frontespizio progetto,TO_VERIFY,DG-COVER,NO
N12-PHOTO-033,1788939776899.jpg,3dc4528d3258d39827b245bc74ccff750ede140a0b2655a60c03241910451414,154618,FRAME_DIAGRAM,DG-01,RC-P10,10.0,PRIMARY_ROLE_VERIFIED,NO,DG-RCP10,RC-P10,Telaio 5 — schema geometrico,HIGH,Telaio 5; nodi; campate; livelli; G5 truncation,VERIFIED,DG-RCP10,NO
N12-PHOTO-034,1788939776920.jpg,31119498f0be8ce9c205344dff6e051531eeef3f8d9ecae5ba6c3904cc8508d0,116006,FRAME_DIAGRAM,,,,FAMILY_CLASSIFIED,NO,DG-PLAN-TIPO-SKETCH,PAGE_TO_VERIFY,Pianta piano tipo compreso il terrazzo,HIGH,pianta piano tipo; terrazzo; campate; assi X-Y,TO_VERIFY,DG-PLAN-TIPO-SKETCH,NO
N12-PHOTO-035,1788939776944.jpg,0a4d75fa1720a0b6817e468b5a9aa1494bc319a8babc766d527baa2ebefb22aa,132002,FRAME_DIAGRAM,DG-02,,,FAMILY_CLASSIFIED,NO,DG-FRAME-B,PAGE_TO_VERIFY,Telaio V-G-H-Z / famiglie correlate,MEDIUM,geometria telai; livelli; nodi,TO_VERIFY,DG-FRAME-B,NO
N12-PHOTO-036,1788939776969.jpg,2160568a5b56e8f797a40c7525e0e6a4d399020b02db1963d2e633c634eaa152,185808,FRAME_DIAGRAM,DG-03,,,FAMILY_CLASSIFIED,NO,DG-FRAME-A,PAGE_TO_VERIFY,Telai A-B-C-D e Telaio 3,HIGH,geometria telai; campate; livelli,TO_VERIFY,DG-FRAME-A,NO
N12-PHOTO-037,1788939776994.jpg,5086a5d6a769eec6df2f2c9af5328f58208ed63acaaead51009496607ff01987,164030,FRAME_DIAGRAM,DG-04,,,FAMILY_CLASSIFIED,NO,DG-FRAME-C,PAGE_TO_VERIFY,Telaio I-L-M-N-O-P-Q-R,HIGH,geometria telaio; livelli; nodi,TO_VERIFY,DG-FRAME-C,NO
N12-PHOTO-038,1788939777016.jpg,f1fd10d0ad873b619cc93f7ed0437e3f47aea6fd302385f14842cbf857cd6f20,140382,PLAN_OR_FRAME_LAYOUT,DG-05,,,FAMILY_CLASSIFIED,NO,DG-PLAN-1,PAGE_TO_VERIFY,Pianta piano copertura / schema,MEDIUM,pianta; griglia; copertura,TO_VERIFY,DG-PLAN-1,NO
N12-PHOTO-039,1788939777040.jpg,c354f0af5041d70a4460517a9360cd2249ac1b6e6c7b61b421a9cc29b27ab09f,185351,PLAN_OR_FRAME_LAYOUT,DG-06,,,FAMILY_CLASSIFIED,NO,DG-PLAN-2,PAGE_TO_VERIFY,Pianta piano tipo — telai,HIGH,pianta piano tipo; allineamenti telai; ancoraggio planimetrico,TO_VERIFY,DG-PLAN-2,NO
N12-PHOTO-040,1788939777060.jpg,1ddd0ab9eb8878e4704438830b7a636f4bacc4f5964fe55faa92d6d93836128e,218127,CALCULATION_SHEET,DG-07,,,FAMILY_CLASSIFIED,NO,DG-RCP04,RC-P04,"Analisi carichi — sottotetto, tamponatura, scale, travi",HIGH,solaio sottotetto; tamponatura; scale; balconi; pesi propri travi,VERIFIED,DG-RCP04,NO
N12-PHOTO-041,1788939777081.jpg,353328fdd6c48cdcf11e7acf23260ca14f3617d2773b0187b2da9cc55606763f,178579,TEXTUAL_REPORT_PAGE,DG-08,,,FAMILY_CLASSIFIED,NO,DG-NOTES,PAGE_TO_VERIFY,Annotazioni costruttive,HIGH,tamponatura; travi portanti 25x70; camera d'aria; pilastri,TO_VERIFY,DG-NOTES,NO
N12-PHOTO-042,1788939777109.jpg,9089717494c786cd093c9310e5cd771d68c23603a80b2b02a8fef647160d5c45,241525,CALCULATION_TABLE,DG-09,,,FAMILY_CLASSIFIED,NO,DG-CALCLOAD,RC-P03_CANDIDATE,Analisi dei carichi,MEDIUM,solaio copertura; solaio sottotetto; sovraccarichi; carichi permanenti,CANDIDATE,DG-CALCLOAD,NO
N12-PHOTO-043,1788939777138.jpg,d3af266f381651dfdb152d87f2628a9e921b6d85a9a5406d56a824d7db890e28,272991,TEXTUAL_REPORT_PAGE,DG-10,,,FAMILY_CLASSIFIED,NO,DG-RCP02,RC-P02,Calcoli di stabilità delle strutture,HIGH,sistema strutturale; telai; Kani; fondazioni; terreno; materiali,VERIFIED,DG-RCP02,NO
